iter	Passed	Remaining
0	143	143492
1	144	72057
2	145	48343
3	146	36586
4	148	29533
5	149	24685
6	151	21426
7	152	18849
8	152	16828
9	154	15266
10	155	13981
11	157	12933
12	158	12053
13	159	11244
14	160	10567
15	161	9933
16	162	9394
17	163	8901
18	164	8488
19	165	8112
20	166	7766
21	167	7449
22	168	7158
23	169	6886
24	170	6645
25	171	6420
26	172	6199
27	172	5994
28	173	5802
29	173	5619
30	174	5449
31	174	5288
32	175	5137
33	175	4994
34	176	4860
35	176	4733
36	177	4616
37	177	4505
38	178	4400
39	179	4299
40	179	4202
41	180	4109
42	180	4021
43	181	3936
44	181	3855
45	182	3777
46	182	3704
47	183	3632
48	183	3563
49	184	3498
50	184	3434
51	185	3375
52	185	3320
53	186	3264
54	186	3209
55	187	3158
56	187	3108
57	188	3059
58	188	3012
59	189	2967
60	189	2923
61	190	2880
62	191	2841
63	191	2801
64	192	2762
65	192	2726
66	193	2691
67	193	2655
68	194	2621
69	194	2587
70	195	2554
71	195	2522
72	196	2491
73	196	2461
74	197	2431
75	197	2402
76	198	2374
77	198	2347
78	199	2321
79	199	2295
80	200	2270
81	200	2247
82	201	2220
83	201	2197
84	201	2173
85	202	2151
86	202	2129
87	203	2107
88	203	2086
89	204	2067
90	205	2048
91	205	2029
92	206	2010
93	206	1992
94	207	1973
95	207	1956
96	208	1940
97	209	1923
98	209	1906
99	209	1889
100	210	1873
101	210	1856
102	211	1841
103	211	1825
104	212	1810
105	212	1795
106	213	1780
107	213	1766
108	214	1752
109	214	1738
110	215	1725
111	216	1713
112	216	1700
113	217	1687
114	217	1674
115	218	1665
116	219	1653
117	219	1641
118	220	1630
119	220	1618
120	221	1607
121	221	1595
122	222	1583
123	222	1573
124	223	1563
125	223	1553
126	224	1542
127	224	1531
128	225	1521
129	225	1511
130	226	1501
131	226	1491
132	227	1481
133	227	1472
134	228	1463
135	228	1453
136	229	1444
137	229	1435
138	230	1427
139	231	1419
140	231	1410
141	231	1401
142	232	1393
143	233	1385
144	233	1377
145	234	1369
146	234	1361
147	235	1353
148	235	1345
149	236	1337
150	236	1329
151	236	1321
152	237	1314
153	238	1307
154	238	1301
155	239	1294
156	239	1287
157	240	1280
158	240	1273
159	241	1266
160	241	1258
161	242	1252
162	242	1245
163	243	1238
164	243	1232
165	244	1225
166	244	1219
167	244	1212
168	245	1206
169	246	1201
170	246	1196
